Country Code,City,Location,Coordinates,Pollutant,Source Name,Unit,Value,Last Updated,Country Label
US,Redding,Redding,"40.5497,-122.3792",PM2.5,AirNow,µg/m³,24.0,2021-08-06T13:00:00+02:00,United States
CN,宣城市,敬亭山子站,"30.9743,118.7385",NO2,ChinaAQIData,µg/m³,24.0,2021-08-06T13:00:00+02:00,China
IT,Asti,IT1903A,"44.89422,8.19756",NO2,EEA Italy,µg/m³,24.0,2021-08-06T13:00:00+02:00,Italy
CN,茂名市,电白南海,"21.4688,111.0286",PM2.5,ChinaAQIData,µg/m³,24.0,2021-08-06T13:00:00+02:00,China
CN,大同市,教育学院,"40.0844,113.2711",NO2,ChinaAQIData,µg/m³,24.0,2021-08-06T13:00:00+02:00,China
US,CARLTON,Fond du Lac,"46.713694,-92.511722",PM2.5,AirNow,µg/m³,24.0,2021-08-06T13:00:00+02:00,United States
CN,渭南市,农科所(对照点),"34.5101,109.5293",NO2,ChinaAQIData,µg/m³,24.0,2021-08-06T13:00:00+02:00,China
CN,青岛市,城阳区子站,"36.3083,120.3999",NO2,ChinaAQIData,µg/m³,24.0,2021-08-06T13:00:00+02:00,China
CN,吉林市,东局子,"43.8358,126.5844",NO2,ChinaAQIData,µg/m³,24.0,2021-08-06T13:00:00+02:00,China
CN,宝鸡市,三迪小学,"34.3622,107.2386",PM2.5,ChinaAQIData,µg/m³,24.0,2021-08-06T13:00:00+02:00,China
CN,四平市,世纪城,"43.1666,124.3419",PM2.5,ChinaAQIData,µg/m³,24.0,2021-08-06T13:00:00+02:00,China
CN,昆明市,金鼎山,"25.0669,102.6742",PM2.5,ChinaAQIData,µg/m³,24.0,2021-08-06T13:00:00+02:00,China
IT,Forli'-Cesena,IT0755A,"44.215,12.056389",NO2,EEA Italy,µg/m³,24.0,2021-08-06T10:00:00+02:00,Italy
IT,Teramo,IT1857A,"42.65722,13.70944",NO2,EEA Italy,µg/m³,24.0,2021-08-06T13:00:00+02:00,Italy
CN,成都市,君平街,"30.6556,104.0431",NO2,ChinaAQIData,µg/m³,24.0,2021-08-06T13:00:00+02:00,China
CN,临汾市,唐尧大酒店,"36.1014,111.505",NO2,ChinaAQIData,µg/m³,24.0,2021-08-06T13:00:00+02:00,China
CN,江门市,西区,"22.5835,113.0731",NO2,ChinaAQIData,µg/m³,24.0,2021-08-06T13:00:00+02:00,China
CN,西咸新区,同德佳苑,"34.2956,108.7096",PM2.5,ChinaAQIData,µg/m³,24.0,2021-08-06T11:00:00+02:00,China
CN,常德市,鼎城区玉霞,"28.9881,111.6892",PM2.5,ChinaAQIData,µg/m³,24.0,2021-08-06T13:00:00+02:00,China
CN,江阴市,第二实验小学,"31.92,120.302",NO2,ChinaAQIData,µg/m³,24.0,2021-08-06T13:00:00+02:00,China
CN,阜阳市,市监测站,"32.8929,115.8277",NO2,ChinaAQIData,µg/m³,24.0,2021-08-06T13:00:00+02:00,China
CN,铜陵市,市第九中学,"30.8792,117.7439",NO2,ChinaAQIData,µg/m³,24.0,2021-08-06T13:00:00+02:00,China
